store_id,region,store_size,week,period,campaign_active,weekly_revenue_k
6,North,Medium,3,Pre,0,29.7
6,North,Medium,4,Pre,0,29.67
6,North,Medium,5,Pre,0,31.05
6,North,Medium,6,Pre,0,27.45
6,North,Medium,7,Pre,0,29.3
6,North,Medium,8,Pre,0,26.52
6,North,Medium,9,Post,1,30.62
6,North,Medium,10,Post,1,32.38
6,North,Medium,11,Post,1,35.47
6,North,Medium,12,Post,1,25.99
6,North,Medium,13,Post,1,34.2
6,North,Medium,14,Post,1,33.1
6,North,Medium,15,Post,1,28.07
6,North,Medium,16,Post,1,28.79
7,North,Large,1,Pre,0,44.51
7,North,Large,2,Pre,0,42.61
7,North,Large,3,Pre,0,44.03
7,North,Large,4,Pre,0,46.08
7,North,Large,5,Pre,0,43.35
7,North,Large,6,Pre,0,42.62
7,North,Large,7,Pre,0,45.61
7,North,Large,8,Pre,0,45.61
7,North,Large,9,Post,1,47.5
7,North,Large,10,Post,1,45.65
7,North,Large,11,Post,1,45.72
7,North,Large,12,Post,1,50.04
7,North,Large,13,Post,1,53.6
7,North,Large,14,Post,1,49.18
7,North,Large,15,Post,1,48.17
7,North,Large,16,Post,1,49.98
8,West,Large,1,Pre,0,40.97
8,West,Large,2,Pre,0,43.81
8,West,Large,3,Pre,0,39.21
8,West,Large,4,Pre,0,40.64
8,West,Large,5,Pre,0,41.45
8,West,Large,6,Pre,0,38.39
8,West,Large,7,Pre,0,40.15
8,West,Large,8,Pre,0,39.55
8,West,Large,9,Post,1,41.97
8,West,Large,10,Post,1,45.44
8,West,Large,11,Post,1,48.45
8,West,Large,12,Post,1,44.45
8,West,Large,13,Post,1,45.58
8,West,Large,14,Post,1,44.38
8,West,Large,15,Post,1,41.33
8,West,Large,16,Post,1,40.0
9,East,Small,1,Pre,0,16.14
9,East,Small,2,Pre,0,16.68
9,East,Small,3,Pre,0,20.98
9,East,Small,4,Pre,0,18.38
9,East,Small,5,Pre,0,14.11
9,East,Small,6,Pre,0,13.21
9,East,Small,7,Pre,0,17.1
9,East,Small,8,Pre,0,12.03
9,East,Small,9,Post,1,23.02
9,East,Small,10,Post,1,12.16
9,East,Small,11,Post,1,18.83
9,East,Small,12,Post,1,14.54
9,East,Small,13,Post,1,16.82
9,East,Small,14,Post,1,16.32
9,East,Small,15,Post,1,15.28
9,East,Small,16,Post,1,17.69
10,East,Medium,1,Pre,0,31.54
10,East,Medium,2,Pre,0,26.39
10,East,Medium,3,Pre,0,25.25
10,East,Medium,4,Pre,0,33.12
10,East,Medium,5,Pre,0,30.47
10,East,Medium,6,Pre,0,27.45
10,East,Medium,7,Pre,0,33.89
10,East,Medium,8,Pre,0,29.87
10,East,Medium,9,Post,1,34.35
10,East,Medium,10,Post,1,40.13
10,East,Medium,11,Post,1,35.16
10,East,Medium,12,Post,1,37.35
10,East,Medium,13,Post,1,33.51
10,East,Medium,14,Post,1,29.09
10,East,Medium,15,Post,1,25.61
10,East,Medium,16,Post,1,34.43
11,North,Medium,1,Pre,0,32.71
11,North,Medium,2,Pre,0,37.07
11,North,Medium,3,Pre,0,28.64
11,North,Medium,4,Pre,0,27.74
11,North,Medium,5,Pre,0,32.35
11,North,Medium,6,Pre,0,33.58
11,North,Medium,7,Pre,0,32.42
11,North,Medium,8,Pre,0,26.72
11,North,Medium,9,Post,1,31.95
11,North,Medium,10,Post,1,37.54
11,North,Medium,11,Post,1,33.14
11,North,Medium,12,Post,1,34.26
11,North,Medium,13,Post,1,34.09
11,North,Medium,14,Post,1,34.83
11,North,Medium,15,Post,1,34.46
11,North,Medium,16,Post,1,32.91
12,West,Small,1,Pre,0,19.91
12,West,Small,2,Pre,0,14.51
12,West,Small,3,Pre,0,12.45
12,West,Small,4,Pre,0,15.01
12,West,Small,5,Pre,0,14.09
12,West,Small,6,Pre,0,13.79
12,West,Small,7,Pre,0,16.13
12,West,Small,8,Pre,0,16.53
12,West,Small,9,Post,1,13.96
12,West,Small,10,Post,1,9.43
12,West,Small,11,Post,1,18.22
12,West,Small,12,Post,1,17.48
12,West,Small,13,Post,1,17.77
12,West,Small,14,Post,1,23.04
12,West,Small,15,Post,1,13.38
12,West,Small,16,Post,1,14.85
13,West,Small,1,Pre,0,11.75
13,West,Small,2,Pre,0,13.92
13,West,Small,3,Pre,0,12.7
13,West,Small,4,Pre,0,20.45
13,West,Small,5,Pre,0,18.2
13,West,Small,6,Pre,0,15.71
13,West,Small,7,Pre,0,19.87
13,West,Small,8,Pre,0,15.95
13,West,Small,9,Post,1,20.76
13,West,Small,10,Post,1,15.27
13,West,Small,11,Post,1,14.85
13,West,Small,12,Post,1,18.46
13,West,Small,13,Post,1,15.91
13,West,Small,14,Post,1,16.38
13,West,Small,15,Post,1,15.29
13,West,Small,16,Post,1,16.63
14,North,Small,1,Pre,0,16.26
14,North,Small,2,Pre,0,15.37
14,North,Small,3,Pre,0,14.84
14,North,Small,4,Pre,0,12.97
14,North,Small,5,Pre,0,13.89
14,North,Small,6,Pre,0,17.62
14,North,Small,7,Pre,0,16.91
14,North,Small,8,Pre,0,12.77
14,North,Small,9,Post,1,19.53
14,North,Small,10,Post,1,16.83
14,North,Small,11,Post,1,18.11
14,North,Small,12,Post,1,11.34
14,North,Small,13,Post,1,15.49
14,North,Small,14,Post,1,15.09
14,North,Small,15,Post,1,13.42
14,North,Small,16,Post,1,13.84
15,North,Large,1,Pre,0,40.18
15,North,Large,2,Pre,0,37.64
15,North,Large,3,Pre,0,38.97
15,North,Large,4,Pre,0,42.86
15,North,Large,5,Pre,0,38.43
15,North,Large,6,Pre,0,42.38
15,North,Large,7,Pre,0,36.88
15,North,Large,8,Pre,0,41.53
15,North,Large,9,Post,1,39.35
15,North,Large,10,Post,1,45.2
15,North,Large,11,Post,1,45.34
15,North,Large,12,Post,1,44.06
15,North,Large,13,Post,1,47.63
15,North,Large,14,Post,1,45.8
15,North,Large,15,Post,1,42.68
15,North,Large,16,Post,1,45.13
16,North,Small,1,Pre,0,17.55
16,North,Small,2,Pre,0,22.55
16,North,Small,3,Pre,0,19.18
16,North,Small,4,Pre,0,15.82
16,North,Small,5,Pre,0,20.1
16,North,Small,6,Pre,0,15.59
16,North,Small,7,Pre,0,11.03
16,North,Small,8,Pre,0,13.91
16,North,Small,9,Post,1,15.31
16,North,Small,10,Post,1,23.25
16,North,Small,11,Post,1,18.32
16,North,Small,12,Post,1,13.34
16,North,Small,13,Post,1,20.98
16,North,Small,14,Post,1,19.97
16,North,Small,15,Post,1,17.78
16,North,Small,16,Post,1,25.65
17,South,Medium,1,Pre,0,29.24
17,South,Medium,2,Pre,0,27.26
17,South,Medium,3,Pre,0,26.17
17,South,Medium,4,Pre,0,30.87
17,South,Medium,5,Pre,0,26.15
17,South,Medium,6,Pre,0,28.75
17,South,Medium,7,Pre,0,27.21
17,South,Medium,8,Pre,0,29.89
17,South,Medium,9,Post,1,35.05
17,South,Medium,10,Post,1,30.38
17,South,Medium,11,Post,1,29.33
17,South,Medium,12,Post,1,34.32
17,South,Medium,13,Post,1,33.07
17,South,Medium,14,Post,1,34.53
17,South,Medium,15,Post,1,31.83
17,South,Medium,16,Post,1,25.27
18,South,Medium,1,Pre,0,34.32
18,South,Medium,2,Pre,0,32.33
18,South,Medium,3,Pre,0,33.27
18,South,Medium,4,Pre,0,29.34
18,South,Medium,5,Pre,0,39.34
18,South,Medium,6,Pre,0,32.85
18,South,Medium,7,Pre,0,32.79
18,South,Medium,8,Pre,0,34.52
18,South,Medium,9,Post,1,36.89
18,South,Medium,10,Post,1,36.06
18,South,Medium,11,Post,1,41.71
18,South,Medium,12,Post,1,36.17
18,South,Medium,13,Post,1,34.15
18,South,Medium,14,Post,1,38.82
18,South,Medium,15,Post,1,37.94
18,South,Medium,16,Post,1,34.3
19,South,Medium,1,Pre,0,20.33
19,South,Medium,2,Pre,0,27.27
19,South,Medium,3,Pre,0,25.17
19,South,Medium,4,Pre,0,21.35
19,South,Medium,5,Pre,0,21.34
19,South,Medium,6,Pre,0,24.02
19,South,Medium,7,Pre,0,29.64
19,South,Medium,8,Pre,0,24.24
19,South,Medium,9,Post,1,25.67
19,South,Medium,10,Post,1,20.29
19,South,Medium,11,Post,1,27.45
19,South,Medium,12,Post,1,34.18
19,South,Medium,13,Post,1,28.76
19,South,Medium,14,Post,1,34.04
19,South,Medium,15,Post,1,28.27
19,South,Medium,16,Post,1,28.69
20,South,Large,1,Pre,0,39.96
20,South,Large,2,Pre,0,40.04
20,South,Large,3,Pre,0,41.48
20,South,Large,4,Pre,0,40.05
20,South,Large,5,Pre,0,39.57
20,South,Large,6,Pre,0,41.86
20,South,Large,7,Pre,0,40.85
20,South,Large,8,Pre,0,45.78
20,South,Large,9,Post,1,45.94
20,South,Large,10,Post,1,41.76
20,South,Large,11,Post,1,44.62
20,South,Large,12,Post,1,42.2
20,South,Large,13,Post,1,49.64
20,South,Large,14,Post,1,50.75
20,South,Large,15,Post,1,43.77
20,South,Large,16,Post,1,46.81
21,East,Large,1,Pre,0,40.33
21,East,Large,2,Pre,0,37.66
21,East,Large,3,Pre,0,37.28
21,East,Large,4,Pre,0,40.32
21,East,Large,5,Pre,0,39.58
21,East,Large,6,Pre,0,37.32
21,East,Large,7,Pre,0,41.58
21,East,Large,8,Pre,0,35.31
21,East,Large,9,Post,1,45.23
21,East,Large,10,Post,1,43.38
21,East,Large,11,Post,1,43.92
21,East,Large,12,Post,1,41.15
21,East,Large,13,Post,1,42.12
21,East,Large,14,Post,1,36.78
21,East,Large,15,Post,1,39.98
21,East,Large,16,Post,1,39.11
22,North,Small,1,Pre,0,23.68
22,North,Small,2,Pre,0,22.82
22,North,Small,3,Pre,0,21.56
22,North,Small,4,Pre,0,24.21
22,North,Small,5,Pre,0,22.98
22,North,Small,6,Pre,0,26.18
22,North,Small,7,Pre,0,23.41
22,North,Small,8,Pre,0,23.51
22,North,Small,9,Post,1,24.29
22,North,Small,10,Post,1,20.47
22,North,Small,11,Post,1,25.35
22,North,Small,12,Post,1,24.58
22,North,Small,13,Post,1,25.88
22,North,Small,14,Post,1,22.06
22,North,Small,15,Post,1,22.38
22,North,Small,16,Post,1,20.61
23,South,Medium,1,Pre,0,32.41
23,South,Medium,2,Pre,0,31.8
23,South,Medium,3,Pre,0,33.84
23,South,Medium,4,Pre,0,35.75
23,South,Medium,5,Pre,0,33.93
23,South,Medium,6,Pre,0,25.93
23,South,Medium,7,Pre,0,27.5
23,South,Medium,8,Pre,0,29.34
23,South,Medium,9,Post,1,35.77
23,South,Medium,10,Post,1,33.94
23,South,Medium,11,Post,1,31.67
23,South,Medium,12,Post,1,30.01
23,South,Medium,13,Post,1,29.93
23,South,Medium,14,Post,1,32.89
23,South,Medium,15,Post,1,38.83
23,South,Medium,16,Post,1,32.11
24,South,Small,1,Pre,0,18.49
24,South,Small,2,Pre,0,20.44
24,South,Small,3,Pre,0,27.27
24,South,Small,4,Pre,0,19.83
24,South,Small,5,Pre,0,23.32
24,South,Small,6,Pre,0,18.13
24,South,Small,7,Pre,0,20.0
24,South,Small,8,Pre,0,25.06
24,South,Small,9,Post,1,26.22
24,South,Small,10,Post,1,21.18
24,South,Small,11,Post,1,25.38
24,South,Small,12,Post,1,18.25
24,South,Small,13,Post,1,20.34
24,South,Small,14,Post,1,23.55
24,South,Small,15,Post,1,18.38
24,South,Small,16,Post,1,24.07
25,South,Small,1,Pre,0,22.71
25,South,Small,2,Pre,0,22.01
25,South,Small,3,Pre,0,20.97
25,South,Small,4,Pre,0,19.48
25,South,Small,5,Pre,0,15.03
25,South,Small,6,Pre,0,20.88
25,South,Small,7,Pre,0,20.26
25,South,Small,8,Pre,0,20.44
25,South,Small,9,Post,1,16.92
25,South,Small,10,Post,1,22.63
25,South,Small,11,Post,1,22.38
25,South,Small,12,Post,1,24.14
25,South,Small,13,Post,1,21.13
25,South,Small,14,Post,1,19.71
25,South,Small,15,Post,1,21.73
25,South,Small,16,Post,1,24.42
26,West,Small,1,Pre,0,14.79
26,West,Small,2,Pre,0,14.08
26,West,Small,3,Pre,0,19.37
26,West,Small,4,Pre,0,15.87
26,West,Small,5,Pre,0,18.21
26,West,Small,6,Pre,0,11.16
26,West,Small,7,Pre,0,16.06
26,West,Small,8,Pre,0,17.81
26,West,Small,9,Post,1,20.2
26,West,Small,10,Post,1,20.44
26,West,Small,11,Post,1,18.86
26,West,Small,12,Post,1,20.65
26,West,Small,13,Post,1,17.55
26,West,Small,14,Post,1,15.82
26,West,Small,15,Post,1,12.93
26,West,Small,16,Post,1,13.76
27,North,Medium,1,Pre,0,28.55
27,North,Medium,2,Pre,0,32.24
27,North,Medium,3,Pre,0,25.1
27,North,Medium,4,Pre,0,30.65
27,North,Medium,5,Pre,0,27.3
27,North,Medium,6,Pre,0,27.76
27,North,Medium,7,Pre,0,29.79
27,North,Medium,8,Pre,0,24.75
27,North,Medium,9,Post,1,32.02
27,North,Medium,10,Post,1,32.5
27,North,Medium,11,Post,1,32.26
27,North,Medium,12,Post,1,28.71
27,North,Medium,13,Post,1,28.64
27,North,Medium,14,Post,1,36.5
27,North,Medium,15,Post,1,28.08
27,North,Medium,16,Post,1,30.12
28,South,Medium,1,Pre,0,30.47
28,South,Medium,2,Pre,0,25.65
28,South,Medium,3,Pre,0,34.23
28,South,Medium,4,Pre,0,34.93
28,South,Medium,5,Pre,0,28.18
28,South,Medium,6,Pre,0,28.81
28,South,Medium,7,Pre,0,30.7
28,South,Medium,8,Pre,0,30.84
28,South,Medium,9,Post,1,39.52
28,South,Medium,10,Post,1,30.65
28,South,Medium,11,Post,1,29.4
28,South,Medium,12,Post,1,38.08
28,South,Medium,13,Post,1,33.1
28,South,Medium,14,Post,1,36.41
28,South,Medium,15,Post,1,34.64
28,South,Medium,16,Post,1,35.44
29,East,Small,1,Pre,0,25.22
29,East,Small,2,Pre,0,21.68
29,East,Small,3,Pre,0,19.04
29,East,Small,4,Pre,0,21.7
29,East,Small,5,Pre,0,23.15
29,East,Small,6,Pre,0,22.34
29,East,Small,7,Pre,0,21.47
29,East,Small,8,Pre,0,23.03
29,East,Small,9,Post,1,27.12
29,East,Small,10,Post,1,22.16
29,East,Small,11,Post,1,25.4
29,East,Small,12,Post,1,21.9
29,East,Small,13,Post,1,21.45
29,East,Small,14,Post,1,23.91
29,East,Small,15,Post,1,18.09
29,East,Small,16,Post,1,24.55
30,North,Small,1,Pre,0,23.63
30,North,Small,2,Pre,0,25.1
30,North,Small,3,Pre,0,25.19
30,North,Small,4,Pre,0,28.91
30,North,Small,5,Pre,0,24.22
30,North,Small,6,Pre,0,25.27
30,North,Small,7,Pre,0,26.19
30,North,Small,8,Pre,0,25.01
30,North,Small,9,Post,1,26.3
30,North,Small,10,Post,1,24.7
30,North,Small,11,Post,1,24.49
30,North,Small,12,Post,1,23.46
30,North,Small,13,Post,1,26.68
30,North,Small,14,Post,1,27.98
30,North,Small,15,Post,1,30.89
30,North,Small,16,Post,1,18.4
31,East,Large,1,Pre,0,41.91
31,East,Large,2,Pre,0,40.46
31,East,Large,3,Pre,0,45.3
31,East,Large,4,Pre,0,44.0
31,East,Large,5,Pre,0,41.74
31,East,Large,6,Pre,0,39.74
31,East,Large,7,Pre,0,45.76
31,East,Large,8,Pre,0,45.14
31,East,Large,9,Post,1,52.87
31,East,Large,10,Post,1,42.26
31,East,Large,11,Post,1,46.86
31,East,Large,12,Post,1,47.44
31,East,Large,13,Post,1,44.74
31,East,Large,14,Post,1,49.32
31,East,Large,15,Post,1,50.12
31,East,Large,16,Post,1,49.96
32,North,Small,1,Pre,0,21.14
32,North,Small,2,Pre,0,23.06
32,North,Small,3,Pre,0,19.89
32,North,Small,4,Pre,0,21.33
32,North,Small,5,Pre,0,19.09
32,North,Small,6,Pre,0,23.38
32,North,Small,7,Pre,0,17.45
32,North,Small,8,Pre,0,24.39
32,North,Small,9,Post,1,17.09
32,North,Small,10,Post,1,19.39
32,North,Small,11,Post,1,20.32
32,North,Small,12,Post,1,15.32
32,North,Small,13,Post,1,13.81
32,North,Small,14,Post,1,21.37
32,North,Small,15,Post,1,23.28
32,North,Small,16,Post,1,19.85
33,North,Small,1,Pre,0,14.75
33,North,Small,2,Pre,0,22.2
33,North,Small,3,Pre,0,20.45
33,North,Small,4,Pre,0,17.37
33,North,Small,5,Pre,0,18.06
33,North,Small,6,Pre,0,18.57
33,North,Small,7,Pre,0,12.27
33,North,Small,8,Pre,0,17.3
33,North,Small,9,Post,1,16.17
33,North,Small,10,Post,1,24.49
33,North,Small,11,Post,1,18.96
33,North,Small,12,Post,1,24.39
33,North,Small,13,Post,1,21.07
33,North,Small,14,Post,1,20.97
33,North,Small,15,Post,1,22.77
33,North,Small,16,Post,1,23.49
34,West,Medium,1,Pre,0,30.08
34,West,Medium,2,Pre,0,26.95
34,West,Medium,3,Pre,0,32.21
34,West,Medium,4,Pre,0,24.46
34,West,Medium,5,Pre,0,31.25
34,West,Medium,6,Pre,0,26.95
34,West,Medium,7,Pre,0,24.57
34,West,Medium,8,Pre,0,25.04
34,West,Medium,9,Post,1,30.4
34,West,Medium,10,Post,1,28.62
34,West,Medium,11,Post,1,35.56
34,West,Medium,12,Post,1,32.89
34,West,Medium,13,Post,1,29.98
34,West,Medium,14,Post,1,27.47
34,West,Medium,15,Post,1,24.61
34,West,Medium,16,Post,1,31.89
35,West,Large,1,Pre,0,44.96
35,West,Large,2,Pre,0,37.12
35,West,Large,3,Pre,0,36.45
35,West,Large,4,Pre,0,41.18
35,West,Large,5,Pre,0,43.48
35,West,Large,6,Pre,0,45.27
35,West,Large,7,Pre,0,39.27
35,West,Large,8,Pre,0,43.57
35,West,Large,9,Post,1,44.52
35,West,Large,10,Post,1,47.94
35,West,Large,11,Post,1,47.29
35,West,Large,12,Post,1,44.95
35,West,Large,13,Post,1,46.91
35,West,Large,14,Post,1,43.82
35,West,Large,15,Post,1,44.17
35,West,Large,16,Post,1,47.98
36,West,Small,1,Pre,0,19.05
36,West,Small,2,Pre,0,8.91
36,West,Small,3,Pre,0,20.1
36,West,Small,4,Pre,0,12.02
36,West,Small,5,Pre,0,15.87
36,West,Small,6,Pre,0,13.75
36,West,Small,7,Pre,0,13.26
36,West,Small,8,Pre,0,20.14
36,West,Small,9,Post,1,19.1
36,West,Small,10,Post,1,19.97
36,West,Small,11,Post,1,15.19
36,West,Small,12,Post,1,18.5
36,West,Small,13,Post,1,15.62
36,West,Small,14,Post,1,22.87
36,West,Small,15,Post,1,17.29
36,West,Small,16,Post,1,24.12
37,South,Medium,1,Pre,0,30.35
37,South,Medium,2,Pre,0,32.03
37,South,Medium,3,Pre,0,29.81
37,South,Medium,4,Pre,0,28.42
37,South,Medium,5,Pre,0,28.6
37,South,Medium,6,Pre,0,28.95
37,South,Medium,7,Pre,0,29.04
37,South,Medium,8,Pre,0,31.18
37,South,Medium,9,Post,1,34.46
37,South,Medium,10,Post,1,32.47
37,South,Medium,11,Post,1,32.51
37,South,Medium,12,Post,1,35.56
37,South,Medium,13,Post,1,34.72
37,South,Medium,14,Post,1,35.28
37,South,Medium,15,Post,1,32.81
37,South,Medium,16,Post,1,29.34
38,North,Medium,1,Pre,0,33.21
38,North,Medium,2,Pre,0,34.35
38,North,Medium,3,Pre,0,36.18
38,North,Medium,4,Pre,0,35.13
38,North,Medium,5,Pre,0,34.16
38,North,Medium,6,Pre,0,34.76
38,North,Medium,7,Pre,0,40.47
38,North,Medium,8,Pre,0,33.58
38,North,Medium,9,Post,1,40.13
38,North,Medium,10,Post,1,41.59
38,North,Medium,11,Post,1,34.51
38,North,Medium,12,Post,1,35.69
38,North,Medium,13,Post,1,35.19
38,North,Medium,14,Post,1,37.79
38,North,Medium,15,Post,1,38.51
38,North,Medium,16,Post,1,40.15
39,East,Small,1,Pre,0,19.97
39,East,Small,2,Pre,0,20.6
39,East,Small,3,Pre,0,13.83
39,East,Small,4,Pre,0,18.94
39,East,Small,5,Pre,0,19.23
39,East,Small,6,Pre,0,16.43
39,East,Small,7,Pre,0,21.12
39,East,Small,8,Pre,0,16.85
39,East,Small,9,Post,1,18.73
39,East,Small,10,Post,1,16.02
39,East,Small,11,Post,1,21.8
39,East,Small,12,Post,1,15.28
39,East,Small,13,Post,1,14.69
39,East,Small,14,Post,1,22.08
39,East,Small,15,Post,1,18.35
39,East,Small,16,Post,1,24.52
40,South,Medium,1,Pre,0,20.03
40,South,Medium,2,Pre,0,33.44
40,South,Medium,3,Pre,0,23.13
40,South,Medium,4,Pre,0,22.42
40,South,Medium,5,Pre,0,29.89
40,South,Medium,6,Pre,0,33.86
40,South,Medium,7,Pre,0,30.9
40,South,Medium,8,Pre,0,28.6
40,South,Medium,9,Post,1,33.33
40,South,Medium,10,Post,1,31.92
40,South,Medium,11,Post,1,30.18
40,South,Medium,12,Post,1,28.53
40,South,Medium,13,Post,1,27.92
40,South,Medium,14,Post,1,25.95
40,South,Medium,15,Post,1,34.34
40,South,Medium,16,Post,1,26.93
41,North,Medium,1,Pre,0,27.67
41,North,Medium,2,Pre,0,22.28
41,North,Medium,3,Pre,0,24.4
41,North,Medium,4,Pre,0,26.57
41,North,Medium,5,Pre,0,22.32
41,North,Medium,6,Pre,0,25.33
41,North,Medium,7,Pre,0,21.3
41,North,Medium,8,Pre,0,23.35
41,North,Medium,9,Post,1,24.15
41,North,Medium,10,Post,1,28.7
41,North,Medium,11,Post,1,29.52
41,North,Medium,12,Post,1,30.22
41,North,Medium,13,Post,1,28.06
41,North,Medium,14,Post,1,29.02
41,North,Medium,15,Post,1,26.31
41,North,Medium,16,Post,1,23.51
42,South,Medium,1,Pre,0,29.77
42,South,Medium,2,Pre,0,31.31
42,South,Medium,3,Pre,0,31.24
42,South,Medium,4,Pre,0,35.75
42,South,Medium,5,Pre,0,32.42
42,South,Medium,6,Pre,0,36.74
42,South,Medium,7,Pre,0,31.36
42,South,Medium,8,Pre,0,34.03
42,South,Medium,9,Post,1,41.45
42,South,Medium,10,Post,1,35.89
42,South,Medium,11,Post,1,38.37
42,South,Medium,12,Post,1,35.86
42,South,Medium,13,Post,1,36.09
42,South,Medium,14,Post,1,43.79
42,South,Medium,15,Post,1,31.94
42,South,Medium,16,Post,1,43.57
43,North,Medium,1,Pre,0,30.18
43,North,Medium,2,Pre,0,30.29
43,North,Medium,3,Pre,0,24.04
43,North,Medium,4,Pre,0,27.18
43,North,Medium,5,Pre,0,30.15
43,North,Medium,6,Pre,0,24.53
43,North,Medium,7,Pre,0,25.02
43,North,Medium,8,Pre,0,23.96
43,North,Medium,9,Post,1,25.75
43,North,Medium,10,Post,1,27.42
43,North,Medium,11,Post,1,28.52
43,North,Medium,12,Post,1,27.85
43,North,Medium,13,Post,1,24.21
43,North,Medium,14,Post,1,32.68
43,North,Medium,15,Post,1,32.02
43,North,Medium,16,Post,1,27.32
44,West,Medium,1,Pre,0,29.4
44,West,Medium,2,Pre,0,28.05
44,West,Medium,3,Pre,0,29.34
44,West,Medium,4,Pre,0,25.25
44,West,Medium,5,Pre,0,28.31
44,West,Medium,6,Pre,0,23.87
44,West,Medium,7,Pre,0,27.52
44,West,Medium,8,Pre,0,25.3
44,West,Medium,9,Post,1,33.61
44,West,Medium,10,Post,1,34.05
44,West,Medium,11,Post,1,28.84
44,West,Medium,12,Post,1,32.89
44,West,Medium,13,Post,1,34.92
44,West,Medium,14,Post,1,30.4
44,West,Medium,15,Post,1,30.77
44,West,Medium,16,Post,1,34.56
45,North,Small,1,Pre,0,11.91
45,North,Small,2,Pre,0,10.5
45,North,Small,3,Pre,0,17.06
45,North,Small,4,Pre,0,12.55
45,North,Small,5,Pre,0,9.61
45,North,Small,6,Pre,0,16.73
45,North,Small,7,Pre,0,22.62
45,North,Small,8,Pre,0,15.63
45,North,Small,9,Post,1,18.68
45,North,Small,10,Post,1,19.9
45,North,Small,11,Post,1,17.84
45,North,Small,12,Post,1,15.96
45,North,Small,13,Post,1,18.14
45,North,Small,14,Post,1,18.04
45,North,Small,15,Post,1,16.44
45,North,Small,16,Post,1,20.47
46,East,Large,1,Pre,0,43.35
46,East,Large,2,Pre,0,45.71
46,East,Large,3,Pre,0,47.32
46,East,Large,4,Pre,0,44.99
46,East,Large,5,Pre,0,43.45
46,East,Large,6,Pre,0,39.75
46,East,Large,7,Pre,0,40.44
46,East,Large,8,Pre,0,42.57
46,East,Large,9,Post,1,46.67
46,East,Large,10,Post,1,49.48
46,East,Large,11,Post,1,49.2
46,East,Large,12,Post,1,42.47
46,East,Large,13,Post,1,46.39
46,East,Large,14,Post,1,48.15
46,East,Large,15,Post,1,53.17
46,East,Large,16,Post,1,51.84
47,South,Small,1,Pre,0,17.5
47,South,Small,2,Pre,0,16.73
