transaction_id,store_region,product_category,units_sold,unit_price,total_revenue,discount_pct,customer_age,customer_gender,day_of_week,month,sales_rep_experience_years
T030,South,Electronics,3,159.99,479.97,5,32,Male,Tuesday,May,3
T031,East,Groceries,14,4.49,62.86,0,49,Female,Wednesday,May,8
T032,West,Clothing,4,29.99,119.96,10,35,Male,Thursday,May,2
T033,North,Electronics,1,699.99,699.99,0,54,Female,Friday,May,12
T034,South,Home,6,34.99,209.94,0,40,Male,Saturday,May,4
T035,East,Electronics,2,269.99,539.98,0,26,Female,Sunday,May,6
T036,West,Groceries,22,2.49,54.78,0,65,Male,Monday,May,15
T037,North,Clothing,5,44.99,224.95,15,30,Female,Tuesday,June,3
T038,South,Electronics,1,379.99,379.99,0,47,Male,Wednesday,June,9
T039,East,Home,4,59.99,239.96,5,43,Female,Thursday,June,7
T040,West,Electronics,2,219.99,439.98,0,38,Male,Friday,June,5
T041,North,Groceries,9,5.99,53.91,0,60,Female,Saturday,June,10
T042,South,Clothing,8,22.99,183.92,20,24,Male,Sunday,June,1
T043,East,Electronics,1,549.99,549.99,0,51,Female,Monday,June,13
T044,West,Home,3,74.99,224.97,10,56,Male,Tuesday,June,6
T045,North,Electronics,2,189.99,379.98,0,33,Female,Wednesday,July,4
T046,South,Groceries,16,3.99,63.84,0,68,Male,Thursday,July,17
T047,East,Clothing,3,54.99,164.97,0,36,Female,Friday,July,2
T048,West,Electronics,1,429.99,429.99,5,43,Male,Saturday,July,8
T049,North,Home,4,49.99,199.96,0,59,Female,Sunday,July,5
T050,South,Electronics,3,239.99,719.97,0,28,Male,Monday,July,3
T051,East,Groceries,11,4.99,54.89,0,46,Female,Tuesday,July,9
T052,West,Clothing,6,27.99,167.94,10,31,Male,Wednesday,July,1
T053,North,Electronics,1,649.99,649.99,0,52,Female,Thursday,August,14
T054,South,Home,5,39.99,199.95,5,37,Male,Friday,August,4
T055,East,Electronics,2,309.99,619.98,0,44,Female,Saturday,August,7
T056,West,Groceries,19,3.29,62.51,0,62,Male,Sunday,August,12
T057,North,Clothing,4,34.99,139.96,15,27,Female,Monday,August,2
T058,South,Electronics,1,479.99,479.99,0,49,Male,Tuesday,August,11
T059,East,Home,3,64.99,194.97,0,55,Female,Wednesday,August,6
T060,West,Electronics,2,199.99,399.98,5,34,Male,Thursday,August,3
T061,North,Groceries,13,4.49,58.37,0,41,Female,Friday,September,8
T062,South,Clothing,5,32.99,164.95,10,26,Male,Saturday,September,1
T063,East,Electronics,1,329.99,329.99,0,48,Female,Sunday,September,10
T064,West,Home,4,54.99,219.96,0,64,Male,Monday,September,15
T065,North,Electronics,2,259.99,519.98,0,35,Female,Tuesday,September,5
T066,South,Groceries,17,3.79,64.43,0,70,Male,Wednesday,September,18
T067,East,Clothing,6,24.99,149.94,20,23,Female,Thursday,September,1
T068,West,Electronics,1,519.99,519.99,0,45,Male,Friday,September,9
T069,North,Home,2,84.99,169.98,10,58,Female,Saturday,September,6
T070,South,Electronics,3,169.99,509.97,0,30,Male,Sunday,September,4
T071,East,Groceries,10,5.49,54.90,0,47,Female,Monday,October,7
T072,West,Clothing,3,44.99,134.97,5,32,Male,Tuesday,October,2
T073,North,Electronics,1,749.99,749.99,0,53,Female,Wednesday,October,16
T074,South,Home,6,29.99,179.94,0,39,Male,Thursday,October,3
T075,East,Electronics,2,279.99,559.98,5,27,Female,Friday,October,5
T076,West,Groceries,21,2.79,58.59,0,66,Male,Saturday,October,13
T077,North,Clothing,7,21.99,153.93,25,25,Female,Sunday,October,1
T078,South,Electronics,1,389.99,389.99,0,44,Male,Monday,October,8
T079,East,Home,5,49.99,249.95,0,60,Female,Tuesday,October,11
T080,West,Electronics,2,209.99,419.98,0,36,Male,Wednesday,October,4
T081,North,Groceries,8,6.49,51.92,0,43,Female,Thursday,November,9
T082,South,Clothing,4,37.99,151.96,10,29,Male,Friday,November,2
T083,East,Electronics,1,449.99,449.99,0,50,Female,Saturday,November,12
T084,West,Home,3,69.99,209.97,5,57,Male,Sunday,November,7
T085,North,Electronics,3,219.99,659.97,0,32,Female,Monday,November,5
T086,South,Groceries,15,4.19,62.85,0,69,Male,Tuesday,November,16
T087,East,Clothing,5,28.99,144.95,15,24,Female,Wednesday,November,1
T088,West,Electronics,1,559.99,559.99,0,46,Male,Thursday,November,10
T089,North,Home,4,44.99,179.96,0,55,Female,Friday,November,6
T090,South,Electronics,2,289.99,579.98,5,38,Male,Saturday,November,3
T091,East,Groceries,12,5.19,62.28,0,48,Female,Sunday,December,8
T092,West,Clothing,6,26.99,161.94,20,33,Male,Monday,December,1
T093,North,Electronics,1,799.99,799.99,0,51,Female,Tuesday,December,17
T094,South,Home,5,44.99,224.95,10,42,Male,Wednesday,December,4
T095,East,Electronics,2,319.99,639.98,0,29,Female,Thursday,December,6
T096,West,Groceries,18,3.59,64.62,0,64,Male,Friday,December,14
T097,North,Clothing,3,49.99,149.97,5,37,Female,Saturday,December,3
T098,South,Electronics,1,469.99,469.99,0,52,Male,Sunday,December,11
T099,East,Home,4,59.99,239.96,0,58,Female,Monday,December,7
T100,West,Electronics,2,229.99,459.98,5,35,Male,Tuesday,December,5
