store_id,quarterly_sales,tv_spend,online_spend,store_size_sqft,promo_weeks
S080,343.8,10.2,24.3,4662,12
S081,469.2,43.8,26.9,5406,1
S082,323.5,33.0,11.5,5870,3
S083,306.7,19.9,12.5,4182,5
S084,142.4,7.9,4.6,5393,1
S085,325.1,19.0,18.2,5090,7
S086,296.5,19.6,3.0,7308,7
S087,338.2,37.8,15.0,1318,0
S088,347.6,33.7,17.2,2967,11
S089,351.8,44.9,10.0,7653,2
S090,385.5,26.2,18.5,7232,9
S091,186.1,10.4,2.9,4190,8
S092,302.4,37.1,3.0,5341,4
S093,403.1,39.2,25.0,2942,5
S094,255.9,30.3,12.1,2317,3
S095,355.8,39.7,5.6,4246,9
S096,303.6,27.2,16.6,3473,1
S097,431.4,28.5,23.6,5086,10
S098,207.8,24.2,8.0,1544,7
S099,312.0,6.1,19.4,7821,10
S100,294.3,9.9,4.4,7903,12
S101,191.5,6.4,3.4,5887,5
S102,354.8,33.6,16.9,4753,4
S103,306.9,19.1,17.1,3167,8
S104,365.1,27.9,19.8,6697,0
S105,425.5,45.8,22.3,5793,4
S106,339.1,16.2,29.3,2138,5
S107,333.1,23.5,16.5,7376,4
S108,392.4,39.0,11.0,6758,5
S109,369.1,15.3,24.3,7649,5
S110,260.9,8.5,9.6,6080,6
S111,357.5,18.0,14.3,5294,3
S112,205.2,12.3,4.2,3928,10
S113,411.8,46.8,2.7,7529,7
S114,418.2,41.4,29.0,7062,6
S115,326.0,33.5,25.4,1317,8
S116,354.3,44.2,21.5,1185,6
S117,316.4,41.2,13.5,3635,2
S118,255.9,13.4,6.9,6674,2
S119,402.1,45.2,6.4,7911,7
S120,263.9,29.3,9.0,2053,4
S121,385.5,41.3,17.4,5159,3
S122,439.0,45.3,22.0,3666,7
S123,388.9,19.3,20.5,7789,5
S124,219.7,10.0,9.8,6895,1
S125,368.5,15.3,28.7,6868,3
S126,377.3,24.2,22.7,4281,11
S127,417.4,41.8,17.5,3904,10
S128,360.5,43.7,19.1,2914,3
S129,205.1,5.3,13.7,1395,5
S130,330.3,28.0,8.9,7053,5
S131,288.1,23.8,12.0,6690,0
S132,359.7,15.0,23.2,7998,7
S133,247.6,10.4,2.4,7976,5
S134,241.6,20.2,5.3,4888,2
S135,385.0,47.4,3.3,6383,8
S136,233.9,19.5,3.1,7613,1
S137,429.8,28.3,26.0,6948,10
S138,376.8,36.6,21.7,2731,7
S139,341.3,21.4,15.3,4154,9
S140,282.7,48.7,4.7,1904,2
S141,478.3,48.3,15.8,7678,12
S142,330.8,16.3,15.3,5243,11
S143,300.2,27.4,6.8,2600,4
S144,282.2,18.5,14.1,5702,5
S145,295.2,17.8,13.2,5327,9
S146,242.5,6.7,19.2,3507,5
S147,288.5,32.4,19.8,1795,3
S148,314.4,27.6,3.3,5701,2
S149,207.5,7.3,12.5,4642,3
S150,299.4,17.5,19.5,6406,0
S151,425.1,45.9,16.1,4641,3
S152,310.1,15.8,26.0,6965,0
S153,349.0,11.5,20.4,4863,11
S154,232.5,27.0,6.6,4927,0
S155,427.1,49.4,4.0,7137,9
S156,251.7,15.9,20.0,3824,5
S157,213.4,35.2,2.7,1938,4
S158,354.9,39.3,18.4,1201,10
S159,394.3,15.7,28.3,6286,3
S160,418.9,37.8,18.1,5342,12
S161,326.1,21.6,12.9,5929,10
S162,372.9,33.5,20.0,2491,2
S163,351.7,33.5,14.8,1955,0
S164,322.3,29.1,17.3,1102,5
S165,289.2,9.1,28.4,3454,1
S166,375.5,42.6,12.8,5129,7
S167,348.0,19.4,28.9,3746,9
S168,336.8,13.4,27.3,4062,4
S169,214.6,6.8,7.5,7329,6
S170,303.0,31.6,3.9,3438,9
S171,379.7,35.5,4.8,4598,11
S172,213.0,5.7,2.5,6486,1
S173,285.1,28.0,4.6,3776,12
S174,349.1,15.2,21.1,5355,7
S175,348.9,34.0,4.0,7037,1
S176,325.1,12.8,10.9,7647,3
S177,339.0,36.1,25.7,2030,0
S178,291.2,22.4,2.7,7486,4
S179,456.2,47.2,24.8,4445,8
S180,224.5,11.2,9.9,2808,0
S181,271.8,20.3,5.3,4214,8
S182,303.3,10.1,21.5,7860,10
S183,418.5,46.6,19.6,4448,7
S184,438.9,44.5,26.6,3301,5
S185,309.5,16.6,22.6,5434,6
S186,383.7,34.7,24.5,2681,2
S187,257.9,41.8,9.9,1531,0
S188,240.4,30.0,7.0,1902,4
S189,402.0,28.8,23.0,1896,11
S190,311.2,15.9,24.6,2063,11
S191,308.9,9.2,29.7,1972,1
S192,347.7,45.4,13.6,5486,4
S193,411.9,45.5,12.4,2273,7
S194,395.1,33.5,23.7,3420,10
S195,333.4,20.3,11.5,7278,8
S196,358.8,20.7,28.1,4318,1
S197,475.6,37.7,26.0,5673,11
S198,308.4,45.4,14.0,2206,2
S199,393.2,44.9,23.0,2346,2
S200,339.6,40.1,23.1,1286,0
